39, State-gov,77516, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40, United-States, <=50K
46, Federal-gov,31141, Some-college,10, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, State-gov,67544, Masters,14, Divorced, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
62, Private,122246, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Female,8614,0,39, United-States, >50K
50, Private,96586, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
19, Private,93604, 7th-8th,4, Never-married, Craft-repair, Own-child, White, Male,0,1602,32, United-States, <=50K
31, Private,86958, 9th,5, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
54, Private,43269, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
35, Private,112271, Masters,14, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
19, Private,129620, 10th,6, Never-married, Other-service, Other-relative, White, Female,0,0,30, United-States, <=50K
60, Private,81578, 9th,5, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
53, Private,106176, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,7298,0,60, United-States, >50K
41, Private,78410, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
32, Private,131379, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
31, Private,79190, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,35, United-States, <=50K
39, Self-emp-not-inc,109766, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, United-States, >50K
37, Federal-gov,129573, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,72, Cuba, >50K
41, Private,27444, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,46, United-States, >50K
47, State-gov,55272, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
46, Private,27802, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
28, Private,55950, Bachelors,13, Never-married, Sales, Own-child, Black, Female,0,0,40, Germany, <=50K
40, Private,76625, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
46, Local-gov,109089, Prof-school,15, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
46, Private,110151, Assoc-voc,11, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States, <=50K
26, Private,34110, Some-college,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,44, United-States, <=50K
47, Self-emp-not-inc,118506, Bachelors,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,60, United-States, <=50K
22, Private,117789, Some-college,10, Never-married, Prof-specialty, Own-child, White, Female,0,0,10, United-States, <=50K
30, Private,72630, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
27, Private,50295, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States, <=50K
60, Private,39952, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,2228,0,37, United-States, <=50K
50, Private,69345, Assoc-voc,11, Married-civ-spouse, Transport-moving, Husband, White, Male,3103,0,55, United-States, >50K
57, Self-emp-not-inc,102058, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
21, Private,117606, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, Private,88278, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,50, United-States, >50K
62, Private,97231, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,0,0,1, United-States, <=50K
50, Private,123429, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
46, Private,137354, Masters,14, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines, >50K
58, Local-gov,92141, Assoc-acdm,12, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
26, Private,115717, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,2051,40, United-States, <=50K
18, Private,120029, Some-college,10, Never-married, Adm-clerical, Other-relative, White, Female,0,0,20, United-States, <=50K
23, Private,133239, Assoc-voc,11, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Federal-gov,34845, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, Germany, >50K
20, Private,130840, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
27, Private,132191, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private,107658, Some-college,10, Never-married, Tech-support, Not-in-family, White, Female,0,0,10, United-States, <=50K
47, Private,102771, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
39, Private,52645, Some-college,10, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private,134613, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,43, United-States, <=50K
45, Self-emp-not-inc,67716, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
35, Private,99357, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,15024,0,50, United-States, >50K
49, Self-emp-not-inc,59612, 10th,6, Divorced, Farming-fishing, Unmarried, White, Male,0,0,70, United-States, <=50K
54, Private,115912, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
17, Private,27032, 10th,6, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
26, Private,128553, Some-college,10, Never-married, Exec-managerial, Own-child, Black, Female,0,0,40, United-States, <=50K
37, Self-emp-not-inc,121510, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Male,0,0,55, United-States, <=50K
41, Private,93793, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, United-States, >50K
30, Private,133602, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
48, Private,96359, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Greece, >50K
18, Private,50879, 10th,6, Never-married, Other-service, Own-child, White, Male,0,0,6, United-States, <=50K
33, Private,110998, HS-grad,9, Never-married, Other-service, Other-relative, Amer-Indian-Eskimo, Female,0,0,36, United-States, <=50K
18, Private,110230, 10th,6, Never-married, Other-service, Own-child, White, Male,0,0,11, United-States, <=50K
40, Private,37618, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
73, Self-emp-not-inc,29306, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
35, Private,37314, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,5013,0,40, United-States, <=50K
27, Private,101364, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, <=50K
51, Self-emp-not-inc,25932, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
50, Private,86373, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
41, Local-gov,111891, 7th-8th,4, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
30, Self-emp-not-inc,45796, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
59, Private,108496, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,2907,0,40, United-States, <=50K
41, Self-emp-not-inc,120539, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3103,0,40, United-States, >50K
28, Private,65389, HS-grad,9, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,30, United-States, <=50K
43, Self-emp-inc,133060, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Private,35032, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
64, Local-gov,50442, 9th,5, Never-married, Adm-clerical, Other-relative, White, Male,0,0,40, United-States, <=50K
19, Private,121240, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,0,30, United-States, <=50K
29, Private,38353, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
42, Private,76280, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
63, Private,68872, HS-grad,9, Married-civ-spouse, Transport-moving, Wife, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
34, Private,103596, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
60, Self-emp-not-inc,88055, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,24, United-States, <=50K
55, Self-emp-not-inc,124975, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Male,27828,0,55, United-States, >50K
22, Private,117210, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,25, Greece, <=50K
25, Private,76144, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
18, Private,98667, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,16, United-States, <=50K
33, Private,126950, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
42, Private,110028, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Private,104660, Bachelors,13, Separated, Prof-specialty, Unmarried, White, Male,0,0,45, United-States, <=50K
21, Private,134746, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
42, Self-emp-not-inc,120539, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
39, Private,25803, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States, <=50K
41, Private,63596, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,32, United-States, >50K
52, Private,124993, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,55, United-States, <=50K
36, Private,107410, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
20, Private,116375, 9th,5, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
51, Private,115851, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private,106753, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1740,40, United-States, <=50K
29, Private,83003, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
18, Private,78817, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
38, State-gov,107164, Some-college,10, Separated, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc,90614, HS-grad,9, Separated, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
21, Private,90935, Assoc-voc,11, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
53, Private,97411, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Laos, <=50K
49, Private,115784, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
28, Private,53063, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
29, Private,134566, Doctorate,16, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
37, Self-emp-inc,107164, 10th,6, Never-married, Transport-moving, Not-in-family, White, Male,0,2559,50, United-States, >50K
58, Private,119558, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
56, Private,108276, Bachelors,13, Widowed, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private,45114, Bachelors,13, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
44, Private,112797, 9th,5, Divorced, Other-service, Own-child, White, Female,0,0,50, United-States, <=50K
40, Private,91836, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
79, Local-gov,84616, 11th,7, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,7, United-States, <=50K
51, Private,44000, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,99999,0,50, United-States, >50K
52, Private,99307, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,3103,0,48, United-States, >50K
33, Private,93206, 5th-6th,3, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
50, Private,100109, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Male,0,0,45, United-States, >50K
51, Private,114927, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White, Male,7298,0,40, United-States, >50K
41, Private,121287, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private,39232, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
31, Self-emp-inc,133861, Assoc-voc,11, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private,80924, Some-college,10, Widowed, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
34, Private,96483, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,8614,0,60, United-States, >50K
43, Private,124919, HS-grad,9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,60, Japan, <=50K
55, Private,103654, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
42, Private,125461, Bachelors,13, Never-married, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Private,131608, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,0,0,10, United-States, <=50K
43, Private,83827, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,24, United-States, <=50K
42, Private,108502, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,0,42, United-States, <=50K
40, Private,103789, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,32, United-States, <=50K
31, Private,34572, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States, <=50K
26, Private,43408, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
26, State-gov,105787, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
42, Self-emp-inc,90693, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
47, Local-gov,56482, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Black, Male,7688,0,50, United-States, >50K
58, Local-gov,44246, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
52, Private,133403, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,55, United-States, <=50K
23, Private,46561, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
23, Private,86065, 12th,8, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
25, Private,60485, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
33, Private,34574, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,43, United-States, <=50K
19, State-gov,112432, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,10, United-States, <=50K
20, Private,105312, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,18, United-States, <=50K
59, Private,50223, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Private,117477, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,36, United-States, <=50K
54, Private,118108, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
25, Local-gov,90730, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,40, United-States, >50K
18, Self-emp-inc,38307, 11th,7, Never-married, Farming-fishing, Own-child, White, Male,0,0,30, United-States, <=50K
41, Private,116391, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Private,91711, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
41, Private,82049, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
33, Local-gov,34080, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
22, Private,72310, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,70, United-States, <=50K
18, Private,71792, HS-grad,9, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
56, Private,87584, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Self-emp-inc,136878, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
38, Private,110607, HS-grad,9, Divorced, Other-service, Not-in-family, White, Male,0,0,32, United-States, <=50K
58, Private,109015, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
63, Private,88653, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Cuba, <=50K
44, Private,45093, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
21, Private,29810, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,50, United-States, <=50K
30, Private,108023, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private,114324, Assoc-voc,11, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
44, Private,79531, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
31, Self-emp-inc,83748, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,70, South, <=50K
27, Private,39232, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
27, Private,135308, Bachelors,13, Never-married, Sales, Not-in-family, Black, Female,0,0,40, United-States, <=50K
39, Private,98948, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private,87054, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
51, Private,30008, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
24, Private,113466, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
79, Private,120707, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,20051,0,35, El-Salvador, >50K
60, State-gov,27037, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
21, Private,121023, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,9, United-States, <=50K
38, Private,51838, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
28, Private,119793, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private,61885, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private,88126, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private,72208, Some-college,10, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
52, Local-gov,74784, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
66, Private,31362, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, United-States, <=50K
47, Private,26994, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
32, Private,116539, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,55, United-States, >50K
32, Private,101283, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,35, United-States, <=50K
48, Private,113598, Some-college,10, Separated, Adm-clerical, Other-relative, Black, Female,0,0,40, United-States, <=50K
33, Private,109996, Assoc-acdm,12, Married-spouse-absent, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
18, Private,84253, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,24, United-States, <=50K
56, Private,83196, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
26, Private,133373, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,42, United-States, <=50K
42, Private,113324, HS-grad,9, Widowed, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
38, Private,63509, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
31, Private,56026, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
18, Self-emp-not-inc,60981, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,4, United-States, <=50K
24, Private,86745, Bachelors,13, Married-civ-spouse, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K
20, Private,59948, 9th,5, Never-married, Adm-clerical, Unmarried, Black, Female,114,0,20, United-States, <=50K
39, Private,65027, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,43, United-States, <=50K
34, Self-emp-not-inc,77209, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,1902,60, United-States, >50K
50, Private,95469, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,7298,0,45, United-States, >50K
43, Private,102180, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
27, Private,104329, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
41, Private,42563, Bachelors,13, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,25, United-States, >50K
37, Private,31368, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
17, Private,132755, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
31, Private,86143, HS-grad,9, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
54, State-gov,44172, HS-grad,9, Separated, Exec-managerial, Unmarried, White, Female,0,0,38, United-States, <=50K
23, State-gov,93076, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
20, Private,116666, Some-college,10, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,8, India, <=50K
43, Self-emp-not-inc,64112, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
25, Private,55718, Some-college,10, Never-married, Tech-support, Own-child, White, Male,0,0,25, United-States, <=50K
39, Private,126675, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
48, Private,102112, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
25, Private,25249, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
57, Private,73411, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
66, Private,127139, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
34, Private,41809, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Local-gov,117227, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,0,0,45, United-States, <=50K
32, Private,34104, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
46, Federal-gov,80057, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Germany, >50K
37, Private,86310, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
30, Private,74966, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,24, United-States, <=50K
75, State-gov,113868, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,20, United-States, >50K
42, Private,132633, HS-grad,9, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,40, Cuba, <=50K
37, Private,44780, Assoc-acdm,12, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Private,86373, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,25, United-States, <=50K
44, Private,103233, Bachelors,13, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
35, Private,63509, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
50, Self-emp-not-inc,105010, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,2051,20, United-States, <=50K
33, Private,86492, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,87, United-States, <=50K
40, Private,71305, HS-grad,9, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, United-States, <=50K
35, Private,38948, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
18, Private,32244, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,594,0,30, United-States, <=50K
41, State-gov,47170, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Female,0,0,48, United-States, >50K
20, Private,117767, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
20, Self-emp-not-inc,132320, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,45, United-States, <=50K
20, Private,49179, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
20, Self-emp-inc,95997, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,70, United-States, <=50K
33, Private,67072, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
54, Private,95329, Some-college,10, Divorced, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
24, Private,107882, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private,79443, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,8, United-States, <=50K
74, Private,129879, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,15831,0,40, United-States, >50K
37, Private,83375, HS-grad,9, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private,115824, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1573,40, United-States, <=50K
34, Private,50276, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,27828,0,40, United-States, >50K
58, Private,121111, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, Greece, <=50K
19, Private,121972, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
