38, Private,215646, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Local-gov,161942, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,1055,0,40, United-States, <=50K
50, Private,144968, HS-grad,9, Never-married, Tech-support, Own-child, White, Male,0,0,15, United-States, <=50K
29, Private,190539, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,6849,0,48, United-States, <=50K
25, Private,178037, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
44, Private,242619, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
24, Private,154165, 9th,5, Divorced, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
65, Local-gov,221026, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,20, United-States, <=50K
56, Self-emp-not-inc,222182, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, United-States, <=50K
23, Private,202344, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
20, Private,190423, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
24, Private,238917, 5th-6th,3, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, El-Salvador, <=50K
41, Private,221947, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,50, United-States, >50K
55, Private,147098, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
23, Private,195411, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
20, Self-emp-not-inc,186014, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,12, Germany, <=50K
29, Private,205903, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private,219838, 12th,8, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private,223327, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
38, Private,177305, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
21, Private,237651, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
33, State-gov,150570, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private,174714, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
47, Self-emp-inc,175958, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,3325,0,60, United-States, <=50K
33, Private,144064, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States, >50K
28, Private,152951, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private,190487, HS-grad,9, Divorced, Priv-house-serv, Unmarried, White, Female,0,0,28, Ecuador, <=50K
37, Private,195148, HS-grad,9, Married-civ-spouse, Craft-repair, Own-child, White, Male,3137,0,40, United-States, <=50K
31, Self-emp-not-inc,226624, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
49, Private,157569, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, Local-gov,169182, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,49, Dominican-Republic, <=50K
49, Private,166789, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
63, Private,154526, Some-college,10, Widowed, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private,182342, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private,244366, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private,174856, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,2885,0,40, United-States, <=50K
67, Self-emp-not-inc,141797, 7th-8th,4, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
26, Private,229523, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,56, United-States, <=50K
59, Private,193895, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
55, Private,163083, Bachelors,13, Separated, Exec-managerial, Not-in-family, White, Male,14084,0,45, United-States, >50K
33, Self-emp-not-inc,155343, Some-college,10, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,72, United-States, <=50K
47, Local-gov,154940, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, >50K
21, Private,243842, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
54, Private,187221, 7th-8th,4, Never-married, Sales, Not-in-family, White, Female,0,0,25, United-States, <=50K
41, Self-emp-not-inc,190290, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
53, Private,158352, Masters,14, Never-married, Sales, Not-in-family, White, Female,8614,0,35, United-States, >50K
25, Private,171114, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,48, United-States, <=50K
35, Private,169638, Some-college,10, Divorced, Sales, Unmarried, White, Female,0,0,36, United-States, <=50K
33, Private,145434, 11th,7, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
18, Private,152182, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
27, Self-emp-inc,233724, HS-grad,9, Separated, Adm-clerical, Not-in-family, White, Male,0,0,38, United-States, <=50K
32, Private,153963, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
26, Private,182178, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,2829,0,40, United-States, <=50K
54, Private,174865, 9th,5, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
75, Self-emp-not-inc,231741, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,4931,0,3, United-States, <=50K
29, Private,237865, Masters,14, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, United-States, <=50K
61, Private,195453, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
42, Self-emp-not-inc,183765, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Cuba, <=50K
20, Private,138768, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
28, Federal-gov,214858, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,48, United-States, <=50K
43, Private,243476, HS-grad,9, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private,169104, Some-college,10, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Private,228320, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
20, Private,217421, HS-grad,9, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,0,0,40, United-States, <=50K
46, Private,185041, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,75, United-States, >50K
49, Private,204629, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
22, Private,201179, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
22, Private,180052, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
46, Private,215943, HS-grad,9, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
64, Federal-gov,199298, 7th-8th,4, Widowed, Other-service, Unmarried, White, Female,0,0,30, Puerto-Rico, <=50K
59, Private,168569, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1887,40, United-States, >50K
32, Private,175413, HS-grad,9, Never-married, Adm-clerical, Other-relative, Black, Female,0,0,40, Jamaica, <=50K
43, Private,161226, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
66, Private,160995, 10th,6, Divorced, Sales, Not-in-family, White, Female,1086,0,20, United-States, <=50K
23, Private,208598, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
49, Self-emp-not-inc,200471, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
49, Private,176684, Assoc-voc,11, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private,206512, Some-college,10, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private,212640, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,85, United-States, <=50K
47, Private,148724, HS-grad,9, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
34, Local-gov,240252, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
25, Private,204338, HS-grad,9, Never-married, Farming-fishing, Unmarried, White, Male,0,0,30, Cuba, <=50K
46, Private,241844, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,191342, 1st-4th,2, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
41, Private,221947, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,56, United-States, >50K
35, Self-emp-not-inc,166416, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,99, United-States, <=50K
58, Private,142158, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,0,12, United-States, <=50K
21, Private,221480, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,0,25, Ecuador, <=50K
35, Self-emp-not-inc,189878, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
19, Private,184710, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
48, Private,177775, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
65, Self-emp-not-inc,225473, Some-college,10, Widowed, Craft-repair, Not-in-family, White, Female,0,0,35, United-States, <=50K
26, Private,214413, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private,202027, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,27828,0,50, United-States, >50K
37, Private,191524, Assoc-voc,11, Separated, Prof-specialty, Own-child, White, Female,0,0,38, United-States, <=50K
64, Private,164204, 1st-4th,2, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,53, Cuba, <=50K
46, Private,205100, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
30, Private,195750, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,27, United-States, <=50K
63, Private,149756, Assoc-acdm,12, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
51, Local-gov,240358, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
68, Self-emp-not-inc,241174, 7th-8th,4, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,16, United-States, <=50K
33, Private,182771, Bachelors,13, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,80, Philippines, <=50K
34, Self-emp-inc,186824, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
46, Federal-gov,162187, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
36, Private,172538, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, United-States, >50K
51, Private,162632, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,60, United-States, >50K
33, Private,184901, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
53, Federal-gov,199720, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,60, Germany, >50K
37, Private,143058, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
22, Private,141698, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
22, Private,195532, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,8614,0,40, United-States, >50K
20, Private,246250, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private,180603, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
42, Private,201785, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
27, Private,146764, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
22, Private,211968, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,40, Iran, <=50K
29, Private,200515, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States, <=50K
45, Private,178215, 9th,5, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, >50K
17, Local-gov,191910, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
49, Private,148398, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K
27, Private,181667, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,46, Canada, <=50K
64, Private,159715, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
53, Federal-gov,174040, Some-college,10, Separated, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
39, Private,140854, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
28, Private,185061, 11th,7, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,40, United-States, <=50K
17, Private,160118, 12th,8, Never-married, Sales, Not-in-family, White, Female,0,0,10, Cuba, <=50K
25, Private,198163, HS-grad,9, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
60, Private,181953, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,28, United-States, <=50K
24, Private,170070, Assoc-acdm,12, Divorced, Other-service, Own-child, White, Female,0,0,30, United-States, <=50K
20, Private,193416, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
51, Private,194908, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private,214716, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, United-States, <=50K
40, Self-emp-inc,207578, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States, >50K
54, Private,146409, Some-college,10, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Private,209301, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada, <=50K
58, Private,218281, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Mexico, <=50K
21, Private,174503, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
40, Self-emp-not-inc,230478, Assoc-acdm,12, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,30, United-States, <=50K
52, State-gov,149650, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran, >50K
38, Private,149419, Assoc-voc,11, Never-married, Tech-support, Not-in-family, White, Male,0,0,50, United-States, <=50K
39, Private,185099, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
18, Private,232024, 11th,7, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,55, United-States, <=50K
25, Private,191230, Some-college,10, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
56, Private,184553, 10th,6, Divorced, Craft-repair, Not-in-family, White, Male,0,0,56, United-States, <=50K
26, Self-emp-inc,242651, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,48, United-States, <=50K
19, Private,246226, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Self-emp-not-inc,213140, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Italy, <=50K
26, Self-emp-not-inc,213258, HS-grad,9, Divorced, Farming-fishing, Unmarried, White, Male,0,0,65, United-States, <=50K
29, Private,168873, Some-college,10, Divorced, Sales, Unmarried, White, Female,0,0,30, United-States, <=50K
49, Private,197418, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
49, Private,185041, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States, >50K
51, Private,159604, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
18, Private,167147, 12th,8, Never-married, Sales, Own-child, White, Male,0,0,24, United-States, <=50K
41, Private,197583, 10th,6, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, >50K
46, Private,175109, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1485,40, United-States, >50K
64, Private,180401, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
50, Self-emp-not-inc,146603, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
53, State-gov,143822, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,36, United-States, >50K
37, Private,234807, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Female,7430,0,45, United-States, >50K
25, Private,168403, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,1741,40, United-States, <=50K
26, Private,159897, Some-college,10, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
27, Private,219371, HS-grad,9, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,0,0,40, Jamaica, <=50K
28, Private,191027, Assoc-acdm,12, Separated, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Local-gov,233825, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,15024,0,50, United-States, >50K
35, Private,150125, Assoc-voc,11, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
49, Private,149337, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
35, Private,181020, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,60, United-States, <=50K
52, Private,165998, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
25, Private,218136, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
20, Self-emp-inc,182200, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,30, United-States, <=50K
24, Private,140001, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private,193260, Bachelors,13, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,30, India, <=50K
21, Private,191243, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
37, Federal-gov,207887, Bachelors,13, Divorced, Exec-managerial, Other-relative, White, Female,0,0,50, United-States, <=50K
43, Federal-gov,211450, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private,184759, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,26, United-States, <=50K
47, Private,197836, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
61, Private,232308, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
21, Private,189888, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Male,0,0,55, United-States, <=50K
60, Private,146674, 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K
27, Private,225291, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
57, Local-gov,148509, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,35, India, <=50K
43, Private,193494, 10th,6, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
63, Local-gov,147440, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
22, Private,153131, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc,225399, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,8614,0,40, United-States, >50K
20, Private,174391, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
22, Private,186452, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,30, United-States, <=50K
40, Self-emp-not-inc,242082, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
33, Private,235109, HS-grad,9, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private,208180, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Self-emp-not-inc,145290, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2415,50, United-States, >50K
33, Private,191856, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Local-gov,168387, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
58, Private,233193, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,27, United-States, <=50K
19, Private,236396, 11th,7, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private,148015, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,15024,0,40, United-States, >50K
48, Private,229846, Assoc-voc,11, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Cuba, <=50K
22, Private,237498, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
57, Private,188872, 5th-6th,3, Divorced, Transport-moving, Unmarried, White, Male,6497,0,40, United-States, <=50K
54, Private,206964, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
21, Private,152540, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
65, Private,143554, Some-college,10, Separated, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
26, Private,164018, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,4064,0,50, United-States, <=50K
25, Private,210184, 11th,7, Separated, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private,182117, Assoc-acdm,12, Never-married, Other-service, Own-child, White, Male,0,0,60, United-States, <=50K
42, Private,220049, HS-grad,9, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, >50K
39, Self-emp-not-inc,247975, Some-college,10, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
46, Self-emp-inc,219962, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7298,0,40, Cuba, >50K
40, Private,210275, HS-grad,9, Separated, Transport-moving, Unmarried, Black, Female,0,0,40, United-States, <=50K
48, Private,189462, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States, >50K
26, Private,171114, Assoc-voc,11, Separated, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
22, Private,201799, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
35, Private,200426, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,12, United-States, <=50K
43, Private,191149, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private,147314, HS-grad,9, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
77, Private,232894, 9th,5, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
40, Private,191196, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private,191117, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,25, United-States, <=50K
17, Private,181580, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,16, United-States, <=50K
58, Private,198478, 7th-8th,4, Married-civ-spouse, Sales, Husband, White, Male,0,0,24, United-States, <=50K
45, Private,168837, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,24, Canada, >50K
30, Private,142675, 12th,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
28, Private,176683, Assoc-acdm,12, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, France, <=50K
40, Self-emp-not-inc,209833, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
44, Self-emp-not-inc,147206, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,12, United-States, <=50K
35, Local-gov,185769, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
45, Private,186272, 9th,5, Married-civ-spouse, Adm-clerical, Husband, Black, Male,5178,0,40, United-States, >50K
26, Private,195994, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,15, United-States, <=50K
30, Private,155343, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,5013,0,40, United-States, <=50K
18, Private,146378, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,40, Cuba, <=50K
45, Private,162187, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, >50K
33, Local-gov,147654, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
35, Private,182467, Assoc-voc,11, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,44, United-States, <=50K
22, Private,183970, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, United-States, <=50K
50, Private,162632, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
33, Private,198003, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,50, United-States, >50K
46, Private,179048, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, Cuba, <=50K
32, Private,164243, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States, >50K
39, Private,173175, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
31, Private,152940, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
56, Private,231232, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,30, Canada, <=50K
55, Self-emp-not-inc,168625, Some-college,10, Divorced, Tech-support, Not-in-family, White, Female,0,0,12, United-States, >50K
46, Private,155659, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,45, United-States, >50K
32, Local-gov,190228, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
28, Private,216178, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
